ALAND,GEOID,ndvi
4916641,42101980200,0.547474601
5343127,42101980100,0.542438682
3310650,42101038600,0.500817448
2913179,42101022000,0.492710549
2590560,42101038400,0.467336171
1410069,42101021900,0.463129411
2103934,42101980800,0.458587673
799347,42101023500,0.447800161
2051448,42101038700,0.437084355
1341998,42101038500,0.43309454
895387,42101020800,0.431898182
486021,42101023900,0.429841798
732749,42101023100,0.42432791
5919457,42101980002,0.42052341
1390293,42101038800,0.41397413
1846263,42101005400,0.409574047
416088,42101980500,0.408944353
978079,42101023600,0.404904464
1237805,42101034200,0.398192583
865284,42101025600,0.396034768
1745920,42101029200,0.389679619
876796,42101012100,0.389460092
4512446,42101036400,0.377450338
1114276,42101006500,0.376676354
1280554,42101038900,0.372653172
1991449,42101021600,0.365948036
840413,42101005600,0.361874024
766601,42101025500,0.360410504
2556620,42101036303,0.359843343
1033282,42101037500,0.357889658
614685,42101026900,0.354497543
2244712,42101035900,0.353865999
586720,42101025800,0.352228979
3419032,42101034400,0.351674966
1733146,42101036502,0.350920774
2526129,42101980001,0.349547011
642216,42101027000,0.346278029
1006008,42101021800,0.346008024
600670,42101012000,0.342718541
889786,42101027902,0.342040959
1072974,42101023700,0.339721673
1498641,42101035302,0.338786514
1850925,42101035200,0.33818717
1816210,42101036501,0.334327619
2029700,42101035601,0.33248274
799191,42101020702,0.33129608
1140699,42101033900,0.330720399
654025,42101011700,0.330244814
1232182,42101034802,0.328703471
1532105,42101036203,0.32804836
2597399,42101037300,0.327950836
1205996,42101036100,0.321558728
1271528,42101034803,0.31814167
1295909,42101020600,0.315823703
1757642,42101035800,0.313655584
763894,42101034000,0.313031565
810472,42101028902,0.312710105
1559580,42101021700,0.312255625
1004126,42101021500,0.311380159
1398722,42101035301,0.310113673
781630,42101023800,0.308954746
1385962,42101034801,0.308757036
679034,42101024300,0.307186617
7596033,42101980300,0.298315314
746915,42101025700,0.297993887
1032346,42101034702,0.296759713
800999,42101024500,0.29622355
1031927,42101036201,0.296013717
515705,42101021200,0.295445337
941266,42101024700,0.294325313
1394857,42101035602,0.294132083
376738,42101012201,0.290636159
1168597,42101005500,0.277743314
1057801,42101033702,0.276190216
842716,42101033200,0.276097711
679047,42101027200,0.272846925
769759,42101025400,0.271434565
1338392,42101034100,0.268626368
1119799,42101039100,0.268413776
617080,42101024000,0.268166995
554014,42101021100,0.262638969
773393,42101029000,0.262121657
532060,42101024200,0.260907
1140891,42101017100,0.260270594
879459,42101012204,0.258815748
447469,42101034501,0.258017092
2290052,42101035500,0.257909953
795704,42101030800,0.257428512
773215,42101031900,0.256947714
1400214,42101033800,0.255903112
952424,42101025200,0.25507843
621261,42101024600,0.253186885
1102852,42101036202,0.252775376
922923,42101032900,0.252043913
1944025,42101034900,0.250498021
642367,42101006400,0.249704406
1148286,42101034701,0.248952646
421189,42101024400,0.245796267
510556,42101008301,0.241801416
611452,42101027500,0.240380282
1021734,42101034502,0.239887893
1559150,42101035702,0.239819266
520968,42101036302,0.239217331
655249,42101030700,0.238568835
774267,42101026800,0.238433868
912763,42101026600,0.23795906
543433,42101026000,0.237658015
2409454,42101036301,0.237312527
322266,42101007700,0.235178848
644878,42101030900,0.231593341
725114,42101030100,0.231574522
598633,42101035701,0.230936336
581298,42101025300,0.229202384
407855,42101024100,0.228633655
569430,42101012502,0.228623373
319262,42101024800,0.228615673
538872,42101021300,0.228568783
1007764,42101030600,0.228449326
1571911,42101017000,0.228015035
600044,42101032300,0.227183908
1073385,42101033300,0.227009945
719269,42101033102,0.226726824
521767,42101020900,0.226172347
1001468,42101006700,0.224608283
971971,42101033701,0.223978374
796819,42101026400,0.223075012
535234,42101006100,0.22278617
492492,42101028400,0.221790367
972947,42101011400,0.221516951
473022,42101010400,0.220911946
649365,42101026100,0.219954018
832282,42101008200,0.219900007
938006,42101027300,0.219537666
512010,42101009200,0.219050183
555958,42101026200,0.217399443
889536,42101031700,0.217148179
1063414,42101031000,0.216828556
11195484,42101980901,0.216016506
699364,42101030502,0.215863433
1855725,42101034600,0.215781739
669100,42101015200,0.215531246
227696,42101012203,0.214338129
1153470,42101033600,0.213895988
690906,42101011900,0.213734431
394661,42101016500,0.211406678
1071395,42101006000,0.211213785
415780,42101027901,0.211148313
1316903,42101029100,0.210619329
426722,42101007800,0.209814386
229399,42101001001,0.20870918
265467,42101010600,0.206932579
471655,42101001002,0.206922374
503541,42101028100,0.206860416
372281,42101027100,0.206014613
585732,42101010800,0.205742135
581132,42101016800,0.205016424
724987,42101027800,0.204872022
839319,42101032500,0.204851968
756812,42101020200,0.204534656
973722,42101036901,0.204169645
2785522,42101989100,0.203949956
625472,42101020701,0.203013144
613208,42101009802,0.202588262
657748,42101010500,0.197342835
2258398,42101989300,0.197128207
562937,42101013900,0.196968672
855786,42101028200,0.196265168
1429513,42101020500,0.195011165
858218,42101021000,0.19499705
483579,42101020101,0.194303004
377951,42101007900,0.19309028
556564,42101015102,0.193078944
2954730,42101980400,0.192854489
591446,42101029900,0.191141119
325196,42101024900,0.190616118
191125,42101014800,0.190572967
321465,42101014500,0.190558551
543126,42101027700,0.189111954
606692,42101021400,0.189063286
718347,42101028000,0.188889014
2043080,42101036000,0.187588878
910853,42101030000,0.186934564
555597,42101006300,0.186743266
545961,42101026500,0.186677689
508471,42101011000,0.185752298
353985,42101017400,0.185419073
552925,42101032100,0.183656463
525631,42101009000,0.182810615
461045,42101010700,0.182415116
1301617,42101011100,0.181631839
901714,42101030200,0.180467459
364983,42101016200,0.180412906
261132,42101016600,0.180336318
676057,42101007400,0.179333193
673069,42101028300,0.178980593
1027185,42101037200,0.177391464
322156,42101013100,0.17716866
509349,42101031800,0.176995298
964586,42101003600,0.175667773
914502,42101011800,0.175627661
658885,42101027600,0.175090932
1799320,42101018300,0.174675744
254216,42101016701,0.17450316
360619,42101010200,0.172494263
704112,42101026302,0.172313948
281275,42101010300,0.171820654
649154,42101029800,0.170957122
485081,42101016400,0.170616227
943012,42101033500,0.169090682
259543,42101008701,0.168699774
406340,42101026301,0.16863286
512906,42101016901,0.168174044
283544,42101008702,0.164847857
1136240,42101033400,0.163597256
503153,42101011200,0.163394701
680731,42101032000,0.162190551
355103,42101016702,0.161933115
370456,42101011500,0.161493964
563694,42101016902,0.161326855
430891,42101008000,0.161070025
685583,42101029300,0.160679201
252482,42101008601,0.160439126
549417,42101025900,0.160171244
651243,42101006600,0.159767218
366714,42101009400,0.15933688
401596,42101009300,0.15827936
407373,42101020400,0.157799108
152822,42101000803,0.157706519
809320,42101032600,0.156249015
335526,42101011300,0.153719623
997445,42101035100,0.153569573
426669,42101013200,0.153296998
736880,42101037700,0.153067927
621108,42101031502,0.152830509
943337,42101039001,0.152233487
502743,42101007200,0.151577693
453220,42101014900,0.151353051
508186,42101020300,0.150853671
286242,42101010900,0.150683482
611259,42101028901,0.150054073
587249,42101031501,0.150015503
326659,42101027401,0.149551908
666562,42101028600,0.149325523
341257,42101013800,0.149300555
874587,42101017300,0.149112669
393627,42101002500,0.149054415
327555,42101001201,0.149009601
719916,42101017500,0.148976759
511360,42101027402,0.148761582
395055,42101008802,0.148624077
386471,42101007300,0.148221529
238612,42101013402,0.147426544
193072,42101015101,0.146892185
688086,42101031300,0.146882977
258296,42101028500,0.146060591
883507,42101036902,0.146024429
212721,42101001700,0.145648492
521131,42101031402,0.145258712
337677,42101014700,0.144995788
297978,42101009801,0.143521013
601423,42101010100,0.143442031
398109,42101031102,0.142553305
164058,42101013401,0.142533004
486948,42101033101,0.142475077
562140,42101014100,0.142311152
1439046,42101019100,0.14215868
383593,42101031200,0.14155661
1087570,42101039002,0.141188322
497692,42101010000,0.14099207
204063,42101001102,0.140384342
425574,42101009100,0.140147221
290610,42101017202,0.1393703
253257,42101007101,0.138914428
469148,42101015300,0.137280437
377375,42101030501,0.137129853
184674,42101008801,0.137063377
405273,42101009600,0.136626316
444406,42101000102,0.135743718
1063815,42101003300,0.135099092
373023,42101020102,0.134652178
175316,42101013601,0.133735758
572226,42101016300,0.133722289
171154,42101980903,0.133610671
404892,42101013500,0.132859282
429566,42101015600,0.131582596
387384,42101018001,0.131445761
445048,42101014600,0.130926576
492828,42101028800,0.130554282
439804,42101014000,0.130139335
662615,42101017800,0.129734579
731130,42101031600,0.129559351
509635,42101006200,0.128910284
714138,42101017900,0.128902607
351883,42101000101,0.127727301
243881,42101008101,0.127611139
491790,42101003200,0.127497873
647650,42101029400,0.127413111
241053,42101017701,0.126211108
1286762,42101980600,0.125813596
469586,42101007000,0.125577957
644274,42101026700,0.125565019
384526,42101028700,0.125545377
661885,42101019900,0.124876472
594849,42101031401,0.124659592
246812,42101013602,0.124311457
400461,42101017602,0.121740546
264473,42101013701,0.12151413
580215,42101015800,0.121166107
579128,42101017601,0.119794905
99957,42101000801,0.119609225
174011,42101001101,0.119410739
874362,42101038000,0.119250437
155167,42101000902,0.11882966
316769,42101020000,0.118799783
733440,42101033000,0.118590524
415761,42101007102,0.118358902
239383,42101001500,0.117861881
778606,42101019000,0.1172804
411225,42101018801,0.115804129
1570844,42101980904,0.114674424
319094,42101009500,0.114342714
540315,42101019800,0.113662346
425236,42101008302,0.113237423
621445,42101008500,0.10917048
884500,42101980905,0.109123547
393883,42101019501,0.108506675
315833,42101001400,0.107806216
546267,42101000300,0.107422536
668236,42101019200,0.106055122
1828675,42101038200,0.10485309
290725,42101014201,0.104258232
1089240,42101003800,0.104215873
370299,42101019502,0.1041804
452952,42101003902,0.104105955
362526,42101008102,0.103539205
4591616,42101989200,0.10348725
295431,42101012501,0.103337228
102414,42101001203,0.102834572
489257,42101017702,0.102491804
369141,42101008602,0.102127996
3764033,42101037800,0.101805074
485072,42101015700,0.101641845
262958,42101017201,0.101073885
556886,42101001302,0.100958192
1400253,42101037900,0.099649974
325261,42101013702,0.099620138
212379,42101002300,0.099073919
501763,42101008400,0.098002591
242440,42101001800,0.096938093
349649,42101031101,0.096828914
609443,42101014400,0.096766778
237519,42101002100,0.095931326
450587,42101019700,0.095293475
252066,42101018802,0.095266652
196389,42101001600,0.094222423
290083,42101002000,0.090591708
330018,42101016001,0.090460629
707749,42101016100,0.090043689
132548,42101980902,0.089995084
391013,42101016002,0.089763994
2945390,42101980906,0.088685704
370256,42101002900,0.088622878
206147,42101001204,0.085822081
753750,42101038301,0.085649552
328328,42101001900,0.085126927
228697,42101002200,0.08468219
367675,42101002702,0.084541989
729908,42101036700,0.084451202
395912,42101003100,0.083612187
3552223,42101980701,0.083423001
170288,42101001301,0.083091427
226952,42101003002,0.081850191
3322102,42101038100,0.08100465
190517,42101004103,0.07952074
106191,42101000702,0.079416409
72237,42101000805,0.077776932
357932,42101013300,0.076850257
535423,42101002400,0.075395145
694156,42101037600,0.073358544
224842,42101002701,0.072496622
453345,42101004202,0.070873077
216838,42101000401,0.06904508
355619,42101003701,0.067410207
1320285,42101018400,0.063436391
247351,42101003702,0.063185773
439791,42101018002,0.060657416
374000,42101004101,0.055910781
514671,42101014202,0.055906816
362691,42101002802,0.055393049
226545,42101003001,0.054122099
105511,42101000901,0.051285995
164084,42101000404,0.051161007
570961,42101014300,0.050977368
337995,42101004201,0.050956043
222950,42101002801,0.05060213
201337,42101004104,0.048058411
386232,42101000200,0.047291159
1150250,42101036600,0.046096012
139616,42101000403,0.045790865
314911,42101004001,0.045703265
454315,42101980003,0.04541224
420397,42101003901,0.04193749
428760,42101000500,0.039100827
2245124,42101980702,0.038017226
344839,42101004002,0.037726454
140499,42101000701,0.037648874
172652,42101000600,0.03623176
73208,42101000806,0.030811122
